72365 ABQ Albuquerque Observations at 00Z 22 Dec 2017

   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV                                                              
   38.2  22250  -58.4  -88.8      1   0.00     75     28  545.8  545.8  545.8
   35.3  22746  -56.7  -88.7      1   0.00     81     33  562.7  562.7  562.7
   31.5  23470  -58.9  -89.2      1   0.00     90     40  575.6  575.6  575.6
   30.8  23605  -59.3  -89.3      1   0.00     90     40  578.0  578.1  578.0
   30.0  23770  -59.5  -89.5      1   0.00     90     40  581.9  581.9  581.9
   28.6  24079  -59.1  -89.7      1   0.00     95     39  591.1  591.1  591.1
   27.6  24291  -58.9  -89.9      1   0.00     81     38  597.5  597.6  597.5
   27.2  24384  -59.1  -90.0      1   0.00     75     37  599.6  599.6  599.6
   21.3  25900  -62.1  -91.1      1   0.00     83     38  633.9  633.9  633.9
   20.0  26290  -60.5  -90.5      1   0.01     85     38  650.3  650.3  650.3
   19.3  26518  -59.9  -90.2      1   0.01     90     48  658.8  658.9  658.8
   17.8  27019  -58.7  -89.7      1   0.01     87     46  678.0  678.0  678.0
   16.7  27432  -59.3  -89.9      1   0.01     85     45  689.0  689.1  689.0
   15.2  28007  -60.1  -90.1      1   0.01     88     42  704.6  704.7  704.6
   13.2  28887  -59.7  -90.7      1   0.01     92     36  735.0  735.1  735.0
   12.9  29031  -58.1  -89.1      1   0.01     93     35  745.4  745.5  745.4
   11.8  29566  -58.8  -89.8      1   0.01     95     32  761.2  761.4  761.2
   10.9  30089  -59.5  -90.5      1   0.01     82     28  777.0  777.2  777.0
   10.8  30175  -59.1  -90.4      1   0.01     80     27  781.6  781.7  781.6
   10.4  30383  -58.1  -90.1      1   0.01     90     22  792.7  792.8  792.7
   10.2  30480  -58.2  -89.8      1   0.01     95     19  795.9  796.0  795.9
   10.0  30630  -58.3  -89.3      1   0.01     85     18  800.9  801.0  800.9
    9.3  31090  -58.0  -89.7      1   0.01     75     14  818.8  819.0  818.8
    9.0  31295  -57.9  -89.9      1   0.01     92     13  826.9  827.1  826.9
    8.4  31699  -54.5  -87.2      1   0.02    125     11  855.4  855.7  855.4
    8.3  31812  -53.5  -86.5      1   0.03    112     13  863.5  863.9  863.5
    8.1  32004  -53.3  -86.3      1   0.03     90     16  871.7  872.1  871.7
    7.8  32213  -53.1  -86.1      1   0.03    152      7  880.6  881.0  880.6
    7.7  32309  -52.0  -85.4      1   0.04    180      3  888.6  889.0  888.6
    7.5  32468  -50.3  -84.3      1   0.04    200      5  901.9  902.5  901.9
    7.0  32920  -49.5  -83.5      1   0.05    255     10  923.1  923.9  923.1
    6.8  33110  -49.9  -83.9      1   0.05    264     16  929.1  929.9  929.2
    6.7  33223  -48.8  -83.1      1   0.06    270     20  938.5  939.4  938.5
    6.5  33406  -46.9  -81.9      1   0.08                953.8  954.9  953.9

